Checking the given root
2.373e-13	
0.209	0.169261	0.169582
0.21	0.169902	0.170223
0.211	0.170541	0.170862
0.212	0.171178	0.171501
0.213	0.171815	0.172137
0.214	0.172449	0.172773
0.215	0.173083	0.173406
0.216	0.173714	0.174039
0.217	0.174345	0.17467
0.218	0.174974	0.175299
0.219	0.175601	0.175927
0.22	0.176227	0.176554
0.221	0.176851	0.177179
0.222	0.177474	0.177803
0.223	0.178095	0.178426
0.224	0.178715	0.179047
0.225	0.179334	0.179666
0.226	0.179951	0.180284
0.227	0.180566	0.180901
0.228	0.181181	0.181516
0.229	0.181795	0.18213
0.23	0.182407	0.182743
0.231	0.183017	0.183354
0.232	0.183627	0.183964
0.233	0.184235	0.184572
0.234	0.184841	0.185179
0.235	0.185446	0.185784
0.236	0.186049	0.186388
0.237	0.186652	0.186991
0.238	0.187252	0.187592
0.239	0.187851	0.188192
0.24	0.188449	0.188791
0.241	0.189046	0.189388
0.242	0.189641	0.189984
0.243	0.190234	0.190578
0.244	0.190826	0.191171
0.245	0.191416	0.191763
0.246	0.192006	0.192353
0.247	0.192594	0.192942
0.248	0.193181	0.193529
0.249	0.193767	0.194115
0.25	0.194351	0.1947
0.251	0.194934	0.195284
0.252	0.195516	0.195866
0.253	0.196096	0.196446
0.254	0.196675	0.197026
0.255	0.197253	0.197604
0.256	0.197829	0.19818
0.257	0.198404	0.198756
0.258	0.198977	0.19933
0.259	0.199549	0.199902
0.26	0.20012	0.200473
0.261	0.200689	0.201043
0.262	0.201256	0.201612
0.263	0.201823	0.202179
0.264	0.202388	0.202745
0.265	0.202951	0.20331
0.266	0.203514	0.203873
0.267	0.204075	0.204435
0.268	0.204636	0.204995
0.269	0.205195	0.205555
0.27	0.205752	0.206112
0.271	0.206309	0.206669
0.272	0.206864	0.207224
0.273	0.207417	0.207778
0.274	0.207969	0.208331
0.275	0.20852	0.208882
0.276	0.20907	0.209432
0.277	0.209618	0.209981
0.278	0.210165	0.210529
0.279	0.21071	0.211075
0.28	0.211254	0.211619
0.281	0.211797	0.212163
0.282	0.212339	0.212705
0.283	0.212878	0.213246
0.284	0.213417	0.213786
0.285	0.213955	0.214324
0.286	0.214492	0.214861
0.287	0.215028	0.215397
0.288	0.215562	0.215931
0.289	0.216095	0.216465
0.29	0.216627	0.216996
0.291	0.217157	0.217527
0.292	0.217686	0.218056
0.293	0.218214	0.218584
0.294	0.21874	0.219111
0.295	0.219265	0.219637
0.296	0.219789	0.220161
0.297	0.220311	0.220684
0.298	0.220832	0.221206
0.299	0.221352	0.221726
0.3	0.22187	0.222245
0.301	0.222388	0.222763
0.302	0.222903	0.22328
0.303	0.223419	0.223796
0.304	0.223933	0.22431
0.305	0.224445	0.224823
0.306	0.224957	0.225334
0.307	0.225467	0.225845
0.308	0.225976	0.226354
0.309	0.226484	0.226862
0.31	0.22699	0.227369
0.311	0.227495	0.227874
0.312	0.227999	0.228378
0.313	0.228501	0.228881
0.314	0.229003	0.229383
0.315	0.229503	0.229883
0.316	0.230002	0.230383
0.317	0.230499	0.230881
0.318	0.230995	0.231378
0.319	0.23149	0.231873
0.32	0.231983	0.232368
0.321	0.232476	0.232861
0.322	0.232968	0.233353
0.323	0.233459	0.233844
0.324	0.233948	0.234333
0.325	0.234436	0.234821
0.326	0.234923	0.235308
0.327	0.235409	0.235794
0.328	0.235893	0.236279
0.329	0.236377	0.236763
0.33	0.236858	0.237245
0.331	0.237339	0.237726
0.332	0.237819	0.238206
0.333	0.238297	0.238684
0.334	0.238774	0.239162
0.335	0.239249	0.239638
0.336	0.239724	0.240113
0.337	0.240197	0.240587
0.338	0.240669	0.24106
0.339	0.241141	0.241532
0.34	0.241611	0.242002
0.341	0.24208	0.242471
0.342	0.242548	0.242939
0.343	0.243014	0.243406
0.344	0.24348	0.243872
0.345	0.243944	0.244336
0.346	0.244407	0.244799
0.347	0.244869	0.245261
0.348	0.24533	0.245722
0.349	0.245789	0.246182
0.35	0.246247	0.246641
0.351	0.246704	0.247098
0.352	0.24716	0.247555
0.353	0.247615	0.24801
0.354	0.248068	0.248464
0.355	0.24852	0.248917
0.356	0.248972	0.249368
0.357	0.249422	0.249819
0.358	0.249871	0.250268
0.359	0.250319	0.250716
0.36	0.250766	0.251163
0.361	0.251212	0.251609
0.362	0.251657	0.252054
0.363	0.2521	0.252498
0.364	0.252543	0.25294
0.365	0.252984	0.253382
0.366	0.253424	0.253822
0.367	0.253863	0.254261
0.368	0.2543	0.254699
0.369	0.254737	0.255136
0.37	0.255172	0.255572
0.371	0.255606	0.256006
0.372	0.256039	0.25644
0.373	0.25647	0.256872
0.374	0.256902	0.257303
0.375	0.257332	0.257733
0.376	0.257761	0.258162
0.377	0.258188	0.25859
0.378	0.258615	0.259017
0.379	0.259041	0.259443
0.38	0.259465	0.259867
0.381	0.259888	0.260291
0.382	0.26031	0.260713
0.383	0.260731	0.261134
0.384	0.261151	0.261554
0.385	0.26157	0.261973
0.386	0.261987	0.262391
0.387	0.262404	0.262808
0.388	0.262819	0.263224
0.389	0.263233	0.263639
0.39	0.263646	0.264052
0.391	0.264058	0.264465
0.392	0.26447	0.264876
0.393	0.26488	0.265286
0.394	0.265289	0.265695
0.395	0.265697	0.266104
0.396	0.266104	0.266511
0.397	0.26651	0.266917
0.398	0.266915	0.267321
0.399	0.267318	0.267725
0.4	0.267721	0.268128
0.401	0.268122	0.26853
0.402	0.268523	0.26893
0.403	0.268922	0.26933
0.404	0.26932	0.269728
0.405	0.269717	0.270126
0.406	0.270113	0.270522
0.407	0.270507	0.270917
0.408	0.270901	0.271311
0.409	0.271294	0.271705
0.41	0.271686	0.272097
0.411	0.272077	0.272488
0.412	0.272467	0.272878
0.413	0.272856	0.273267
0.414	0.273244	0.273654
0.415	0.273631	0.274041
0.416	0.274016	0.274427
0.417	0.274401	0.274812
0.418	0.274784	0.275195
0.419	0.275167	0.275578
0.42	0.275548	0.27596
0.421	0.275928	0.27634
0.422	0.276307	0.27672
0.423	0.276685	0.277098
0.424	0.277062	0.277476
0.425	0.277439	0.277852
0.426	0.277814	0.278228
0.427	0.278188	0.278602
0.428	0.278562	0.278975
0.429	0.278934	0.279348
0.43	0.279305	0.279719
0.431	0.279676	0.280089
0.432	0.280045	0.280458
0.433	0.280413	0.280827
0.434	0.28078	0.281194
0.435	0.281146	0.28156
0.436	0.281511	0.281925
0.437	0.281875	0.28229
0.438	0.282238	0.282653
0.439	0.282599	0.283015
0.44	0.28296	0.283376
0.441	0.28332	0.283736
0.442	0.283679	0.284095
0.443	0.284037	0.284453
0.444	0.284394	0.284811
0.445	0.28475	0.285167
0.446	0.285106	0.285522
0.447	0.28546	0.285876
0.448	0.285813	0.286229
0.449	0.286165	0.286581
0.45	0.286516	0.286933
0.451	0.286866	0.287283
0.452	0.287215	0.287632
0.453	0.287563	0.28798
0.454	0.28791	0.288328
0.455	0.288256	0.288674
0.456	0.288601	0.289019
0.457	0.288945	0.289363
0.458	0.289288	0.289707
0.459	0.28963	0.290049
0.46	0.289971	0.29039
0.461	0.290312	0.290731
0.462	0.290651	0.29107
0.463	0.29099	0.291409
0.464	0.291327	0.291746
0.465	0.291664	0.292083
0.466	0.291999	0.292418
0.467	0.292334	0.292753
0.468	0.292667	0.293087
0.469	0.293	0.293419
0.47	0.293331	0.293751
0.471	0.293662	0.294082
0.472	0.293992	0.294412
0.473	0.29432	0.294741
0.474	0.294648	0.295068
0.475	0.294974	0.295395
0.476	0.2953	0.295721
0.477	0.295625	0.296046
0.478	0.295949	0.296371
0.479	0.296273	0.296694
0.48	0.296595	0.297016
0.481	0.296916	0.297337
0.482	0.297237	0.297658
0.483	0.297556	0.297977
0.484	0.297874	0.298296
0.485	0.298192	0.298613
0.486	0.298508	0.29893
0.487	0.298824	0.299245
0.488	0.299138	0.29956
0.489	0.299452	0.299874
0.49	0.299764	0.300187
0.491	0.300076	0.300499
0.492	0.300387	0.30081
0.493	0.300697	0.30112
0.494	0.301006	0.301429
0.495	0.301315	0.301738
0.496	0.301622	0.302045
0.497	0.301928	0.302351
0.498	0.302234	0.302657
0.499	0.302539	0.302962
0.5	0.302842	0.303265
0.501	0.303145	0.303568
0.502	0.303447	0.30387
0.503	0.303748	0.304171
0.504	0.304048	0.304471
0.505	0.304347	0.30477
0.506	0.304645	0.305069
0.507	0.304942	0.305366
0.508	0.305238	0.305662
0.509	0.305533	0.305958
0.51	0.305828	0.306253
0.511	0.306122	0.306547
0.512	0.306415	0.306839
0.513	0.306707	0.307131
0.514	0.306998	0.307423
0.515	0.307288	0.307713
0.516	0.307578	0.308002
0.517	0.307866	0.308291
0.518	0.308154	0.308578
0.519	0.30844	0.308865
0.52	0.308726	0.309151
0.521	0.309011	0.309436
0.522	0.309295	0.30972
0.523	0.309578	0.310003
0.524	0.30986	0.310285
0.525	0.310141	0.310567
0.526	0.310421	0.310847
0.527	0.310701	0.311127
0.528	0.31098	0.311406
0.529	0.311258	0.311684
0.53	0.311535	0.311961
0.531	0.311811	0.312237
0.532	0.312087	0.312512
0.533	0.312361	0.312787
0.534	0.312635	0.31306
0.535	0.312907	0.313333
0.536	0.313179	0.313605
0.537	0.31345	0.313876
0.538	0.31372	0.314146
0.539	0.313989	0.314416
0.54	0.314258	0.314684
0.541	0.314525	0.314952
0.542	0.314791	0.315218
0.543	0.315057	0.315484
0.544	0.315323	0.31575
0.545	0.315587	0.316014
0.546	0.31585	0.316277
0.547	0.316113	0.31654
0.548	0.316375	0.316801
0.549	0.316636	0.317062
0.55	0.316896	0.317322
0.551	0.317155	0.317582
0.552	0.317413	0.31784
0.553	0.317671	0.318098
0.554	0.317928	0.318354
0.555	0.318183	0.31861
0.556	0.318438	0.318865
0.557	0.318692	0.319119
0.558	0.318945	0.319373
0.559	0.319197	0.319625
0.56	0.319449	0.319877
0.561	0.3197	0.320128
0.562	0.31995	0.320378
0.563	0.3202	0.320627
0.564	0.320448	0.320876
0.565	0.320696	0.321123
0.566	0.320943	0.32137
0.567	0.321189	0.321616
0.568	0.321434	0.321862
0.569	0.321679	0.322106
0.57	0.321922	0.32235
0.571	0.322165	0.322592
0.572	0.322407	0.322834
0.573	0.322648	0.323075
0.574	0.322888	0.323316
0.575	0.323127	0.323555
0.576	0.323366	0.323794
0.577	0.323604	0.324032
0.578	0.323841	0.324269
0.579	0.324077	0.324505
0.58	0.324313	0.324741
0.581	0.324548	0.324976
0.582	0.324782	0.32521
0.583	0.325015	0.325443
0.584	0.325248	0.325675
0.585	0.325479	0.325907
0.586	0.32571	0.326138
0.587	0.32594	0.326368
0.588	0.326169	0.326597
0.589	0.326397	0.326825
0.59	0.326625	0.327053
0.591	0.326852	0.32728
0.592	0.327077	0.327506
0.593	0.327303	0.327731
0.594	0.327527	0.327956
0.595	0.327751	0.32818
0.596	0.327974	0.328403
0.597	0.328197	0.328625
0.598	0.328418	0.328846
0.599	0.328639	0.329067
0.6	0.328859	0.329287
0.601	0.329078	0.329506
0.602	0.329297	0.329724
0.603	0.329514	0.329942
0.604	0.329731	0.330159
0.605	0.329947	0.330375
0.606	0.330162	0.33059
0.607	0.330377	0.330805
0.608	0.33059	0.331019
0.609	0.330803	0.331232
0.61	0.331015	0.331444
0.611	0.331227	0.331656
0.612	0.331438	0.331866
0.613	0.331648	0.332076
0.614	0.331857	0.332286
0.615	0.332066	0.332494
0.616	0.332274	0.332702
0.617	0.332481	0.332909
0.618	0.332687	0.333115
0.619	0.332893	0.333321
0.62	0.333098	0.333526
0.621	0.333302	0.33373
0.622	0.333505	0.333933
0.623	0.333707	0.334135
0.624	0.333909	0.334337
0.625	0.33411	0.334538
0.626	0.33431	0.334739
0.627	0.334532	0.334938
0.628	0.334731	0.335137
0.629	0.334929	0.335335
0.63	0.335127	0.335533
0.631	0.335324	0.33573
0.632	0.33552	0.335925
0.633	0.335715	0.336121
0.634	0.33591	0.336315
0.635	0.336103	0.336509
0.636	0.336296	0.336702
0.637	0.336489	0.336894
0.638	0.33668	0.337086
0.639	0.336871	0.337277
0.64	0.337061	0.337467
0.641	0.33725	0.337657
0.642	0.337439	0.337845
0.643	0.337627	0.338033
0.644	0.337815	0.338221
0.645	0.338001	0.338407
0.646	0.338187	0.338593
0.647	0.338373	0.338778
0.648	0.338557	0.338963
0.649	0.338741	0.339147
0.65	0.338924	0.33933
0.651	0.339107	0.339512
0.652	0.339289	0.339694
0.653	0.339469	0.339875
0.654	0.33965	0.340055
0.655	0.339829	0.340235
0.656	0.340008	0.340413
0.657	0.340186	0.340592
0.658	0.340363	0.340769
0.659	0.34054	0.340946
0.66	0.340716	0.341122
0.661	0.340892	0.341297
0.662	0.341066	0.341472
0.663	0.341241	0.341646
0.664	0.341414	0.341819
0.665	0.341587	0.341992
0.666	0.341759	0.342164
0.667	0.34193	0.342335
0.668	0.342101	0.342506
0.669	0.342271	0.342676
0.67	0.34244	0.342845
0.671	0.342608	0.343013
0.672	0.342776	0.343181
0.673	0.342943	0.343348
0.674	0.34311	0.343515
0.675	0.343275	0.343681
0.676	0.34344	0.343846
0.677	0.343605	0.34401
0.678	0.343769	0.344174
0.679	0.343932	0.344337
0.68	0.344095	0.3445
0.681	0.344257	0.344661
0.682	0.344418	0.344822
0.683	0.344579	0.344983
0.684	0.344738	0.345143
0.685	0.344898	0.345302
0.686	0.345056	0.34546
0.687	0.345214	0.345618
0.688	0.345371	0.345775
0.689	0.345527	0.345932
0.69	0.345683	0.346087
0.691	0.345838	0.346243
0.692	0.345992	0.346397
0.693	0.346146	0.346551
0.694	0.3463	0.346704
0.695	0.346452	0.346857
0.696	0.346604	0.347009
0.697	0.346756	0.34716
0.698	0.346907	0.34731
0.699	0.347057	0.34746
0.7	0.347206	0.34761
0.701	0.347355	0.347758
0.702	0.347503	0.347906
0.703	0.34765	0.348054
0.704	0.347797	0.3482
0.705	0.347943	0.348347
0.706	0.348089	0.348492
0.707	0.348233	0.348637
0.708	0.348377	0.348781
0.709	0.348521	0.348924
0.71	0.348663	0.349067
0.711	0.348806	0.34921
0.712	0.348948	0.349351
0.713	0.349089	0.349492
0.714	0.349229	0.349633
0.715	0.349369	0.349772
0.716	0.349509	0.349911
0.717	0.349647	0.35005
0.718	0.349785	0.350188
0.719	0.349922	0.350325
0.72	0.350059	0.350462
0.721	0.350195	0.350598
0.722	0.350331	0.350733
0.723	0.350465	0.350868
0.724	0.350599	0.351002
0.725	0.350733	0.351135
0.726	0.350865	0.351268
0.727	0.350997	0.3514
0.728	0.351129	0.351532
0.729	0.351261	0.351663
0.73	0.351391	0.351794
0.731	0.351521	0.351923
0.732	0.351651	0.352053
0.733	0.351779	0.352181
0.734	0.351907	0.352309
0.735	0.352035	0.352437
0.736	0.352162	0.352563
0.737	0.352288	0.352689
0.738	0.352414	0.352815
0.739	0.352539	0.35294
0.74	0.352663	0.353064
0.741	0.352787	0.353188
0.742	0.35291	0.353311
0.743	0.353032	0.353434
0.744	0.353154	0.353556
0.745	0.353275	0.353677
0.746	0.353396	0.353798
0.747	0.353517	0.353918
0.748	0.353636	0.354038
0.749	0.353756	0.354157
0.75	0.353874	0.354275
0.751	0.353992	0.354393
0.752	0.354109	0.35451
0.753	0.354226	0.354627
0.754	0.354342	0.354743
0.755	0.354458	0.354858
0.756	0.354573	0.354973
0.757	0.354687	0.355087
0.758	0.354801	0.355201
0.759	0.354914	0.355314
0.76	0.355026	0.355426
0.761	0.355138	0.355538
0.762	0.355249	0.35565
0.763	0.35536	0.355761
0.764	0.355471	0.355871
0.765	0.35558	0.35598
0.766	0.35569	0.35609
0.767	0.355798	0.356198
0.768	0.355906	0.356306
0.769	0.356014	0.356413
0.77	0.356121	0.35652
0.771	0.356227	0.356626
0.772	0.356333	0.356732
0.773	0.356438	0.356837
0.774	0.356542	0.356941
0.775	0.356646	0.357045
0.776	0.35675	0.357149
0.777	0.356852	0.357252
0.778	0.356955	0.357354
0.779	0.357056	0.357456
0.78	0.357157	0.357557
0.781	0.357258	0.357657
0.782	0.357358	0.357757
0.783	0.357458	0.357857
0.784	0.357557	0.357956
0.785	0.357656	0.358054
0.786	0.357754	0.358152
0.787	0.357851	0.358249
0.788	0.357948	0.358346
0.789	0.358044	0.358442
0.79	0.35814	0.358537
0.791	0.358235	0.358632
0.792	0.358329	0.358727
0.793	0.358423	0.358821
0.794	0.358516	0.358914
0.795	0.358609	0.359007
0.796	0.358701	0.359099
0.797	0.358793	0.359191
0.798	0.358885	0.359282
0.799	0.358975	0.359373
0.8	0.359066	0.359463
0.801	0.359156	0.359553
0.802	0.359245	0.359642
0.803	0.359334	0.35973
0.804	0.359422	0.359818
0.805	0.359509	0.359906
0.806	0.359596	0.359993
0.807	0.359683	0.360079
0.808	0.359769	0.360165
0.809	0.359854	0.36025
0.81	0.359939	0.360335
0.811	0.360023	0.360419
0.812	0.360107	0.360503
0.813	0.36019	0.360586
0.814	0.360272	0.360669
0.815	0.360355	0.360751
0.816	0.360436	0.360833
0.817	0.360518	0.360914
0.818	0.360599	0.360994
0.819	0.360679	0.361074
0.82	0.360759	0.361154
0.821	0.360838	0.361233
0.822	0.360916	0.361311
0.823	0.360995	0.361389
0.824	0.361072	0.361467
0.825	0.361149	0.361544
0.826	0.361226	0.36162
0.827	0.361302	0.361696
0.828	0.361377	0.361772
0.829	0.361452	0.361847
0.83	0.361526	0.361921
0.831	0.3616	0.361995
0.832	0.361673	0.362068
0.833	0.361746	0.362141
0.834	0.361819	0.362213
0.835	0.361891	0.362285
0.836	0.361962	0.362357
0.837	0.362033	0.362427
0.838	0.362104	0.362498
0.839	0.362174	0.362568
0.84	0.362243	0.362637
0.841	0.362312	0.362706
0.842	0.362381	0.362774
0.843	0.362449	0.362842
0.844	0.362516	0.362909
0.845	0.362583	0.362976
0.846	0.362649	0.363042
0.847	0.362715	0.363108
0.848	0.36278	0.363173
0.849	0.362845	0.363238
0.85	0.362909	0.363303
0.851	0.362973	0.363367
0.852	0.363037	0.36343
0.853	0.3631	0.363493
0.854	0.363163	0.363555
0.855	0.363225	0.363617
0.856	0.363286	0.363679
0.857	0.363348	0.363739
0.858	0.363408	0.3638
0.859	0.363468	0.36386
0.86	0.363528	0.363919
0.861	0.363587	0.363978
0.862	0.363646	0.364037
0.863	0.363704	0.364095
0.864	0.363761	0.364153
0.865	0.363818	0.36421
0.866	0.363875	0.364266
0.867	0.363931	0.364322
0.868	0.363986	0.364378
0.869	0.364042	0.364433
0.87	0.364097	0.364488
0.871	0.364151	0.364542
0.872	0.364205	0.364596
0.873	0.364259	0.364649
0.874	0.364312	0.364702
0.875	0.364364	0.364754
0.876	0.364416	0.364806
0.877	0.364468	0.364858
0.878	0.364519	0.364908
0.879	0.364569	0.364959
0.88	0.364619	0.365009
0.881	0.364669	0.365059
0.882	0.364718	0.365108
0.883	0.364767	0.365156
0.884	0.364815	0.365204
0.885	0.364862	0.365252
0.886	0.364909	0.365299
0.887	0.364956	0.365346
0.888	0.365003	0.365392
0.889	0.365049	0.365438
0.89	0.365095	0.365484
0.891	0.36514	0.365529
0.892	0.365185	0.365573
0.893	0.365229	0.365617
0.894	0.365273	0.365661
0.895	0.365316	0.365704
0.896	0.365359	0.365746
0.897	0.365401	0.365789
0.898	0.365443	0.36583
0.899	0.365484	0.365872
0.9	0.365525	0.365913
0.901	0.365566	0.365953
0.902	0.365605	0.365993
0.903	0.365645	0.366033
0.904	0.365684	0.366072
0.905	0.365723	0.36611
0.906	0.365761	0.366149
0.907	0.365799	0.366186
0.908	0.365837	0.366224
0.909	0.365874	0.366261
0.91	0.36591	0.366297
0.911	0.365947	0.366333
0.912	0.365982	0.366369
0.913	0.366018	0.366404
0.914	0.366053	0.366438
0.915	0.366087	0.366473
0.916	0.366121	0.366507
0.917	0.366154	0.36654
0.918	0.366187	0.366573
0.919	0.36622	0.366605
0.92	0.366252	0.366638
0.921	0.366283	0.366669
0.922	0.366315	0.3667
0.923	0.366345	0.366731
0.924	0.366376	0.366762
0.925	0.366406	0.366792
0.926	0.366436	0.366821
0.927	0.366465	0.36685
0.928	0.366494	0.366879
0.929	0.366523	0.366907
0.93	0.366551	0.366935
0.931	0.366578	0.366962
0.932	0.366605	0.366989
0.933	0.366632	0.367016
0.934	0.366658	0.367042
0.935	0.366684	0.367068
0.936	0.366709	0.367093
0.937	0.366734	0.367118
0.938	0.366759	0.367142
0.939	0.366783	0.367167
0.94	0.366806	0.36719
0.941	0.366829	0.367213
0.942	0.366852	0.367236
0.943	0.366875	0.367259
0.944	0.366897	0.367281
0.945	0.366919	0.367302
0.946	0.366941	0.367323
0.947	0.366962	0.367344
0.948	0.366982	0.367364
0.949	0.367002	0.367384
0.95	0.367022	0.367404
0.951	0.367041	0.367423
0.952	0.36706	0.367442
0.953	0.367079	0.36746
0.954	0.367097	0.367478
0.955	0.367114	0.367496
0.956	0.367131	0.367513
0.957	0.367148	0.367529
0.958	0.367164	0.367546
0.959	0.36718	0.367562
0.96	0.367195	0.367577
0.961	0.367211	0.367592
0.962	0.367226	0.367607
0.963	0.36724	0.367621
0.964	0.367254	0.367635
0.965	0.367268	0.367649
0.966	0.367282	0.367662
0.967	0.367295	0.367675
0.968	0.367307	0.367687
0.969	0.367319	0.367699
0.97	0.367331	0.367711
0.971	0.367342	0.367722
0.972	0.367353	0.367733
0.973	0.367364	0.367743
0.974	0.367374	0.367753
0.975	0.367383	0.367763
0.976	0.367392	0.367772
0.977	0.367401	0.367781
0.978	0.36741	0.367789
0.979	0.367418	0.367797
0.98	0.367425	0.367805
0.981	0.367433	0.367812
0.982	0.36744	0.367819
